_id,CT,BPAD,BPAN,BPAN2,BWAD,BWAN,BWAN2,BMAD,BMAN,BMAN2,year
231,477200,2543.0,267.0,171.0,1394.0,138.0,84.0,1149.0,129.0,87.0,2016.0
232,477300,3376.0,254.0,187.0,1755.0,127.0,91.0,1621.0,127.0,96.0,2016.0
233,478100,2289.0,196.0,128.0,1214.0,100.0,62.0,1075.0,96.0,66.0,2016.0
234,478200,3211.0,225.0,167.0,1713.0,100.0,79.0,1498.0,125.0,88.0,2016.0
235,479000,1149.0,113.0,80.0,627.0,60.0,44.0,522.0,53.0,36.0,2016.0
236,480101,2896.0,266.0,193.0,1522.0,145.0,112.0,1374.0,121.0,81.0,2016.0
237,480102,1820.0,176.0,108.0,997.0,84.0,53.0,823.0,92.0,55.0,2016.0
238,480200,2060.0,200.0,126.0,1067.0,85.0,55.0,993.0,115.0,71.0,2016.0
239,480300,2036.0,176.0,133.0,1087.0,89.0,65.0,949.0,87.0,68.0,2016.0
240,480400,2901.0,289.0,190.0,1591.0,128.0,84.0,1310.0,161.0,106.0,2016.0
241,481000,2011.0,190.0,147.0,1136.0,108.0,80.0,875.0,82.0,67.0,2016.0
242,482500,1141.0,150.0,106.0,629.0,87.0,62.0,512.0,63.0,44.0,2016.0
243,483800,1715.0,251.0,176.0,1017.0,153.0,112.0,698.0,98.0,64.0,2016.0
244,484300,1932.0,182.0,115.0,1050.0,83.0,54.0,882.0,99.0,61.0,2016.0
245,484500,3435.0,366.0,266.0,1878.0,180.0,137.0,1557.0,186.0,129.0,2016.0
246,484600,1231.0,133.0,95.0,713.0,77.0,61.0,518.0,56.0,34.0,2016.0
247,485000,697.0,63.0,41.0,394.0,33.0,24.0,303.0,30.0,17.0,2016.0
248,486700,1230.0,123.0,97.0,746.0,79.0,60.0,484.0,44.0,37.0,2016.0
249,486800,1057.0,113.0,77.0,583.0,57.0,40.0,474.0,56.0,37.0,2016.0
250,486900,841.0,85.0,58.0,490.0,51.0,35.0,351.0,34.0,23.0,2016.0
251,487000,1001.0,147.0,98.0,547.0,78.0,50.0,454.0,69.0,48.0,2016.0
252,488100,1283.0,141.0,95.0,685.0,72.0,50.0,598.0,69.0,45.0,2016.0
253,488200,2090.0,187.0,121.0,1196.0,97.0,58.0,894.0,90.0,63.0,2016.0
254,488300,1239.0,151.0,102.0,669.0,66.0,50.0,570.0,85.0,52.0,2016.0
255,488400,2560.0,263.0,194.0,1471.0,140.0,97.0,1089.0,123.0,97.0,2016.0
256,488500,1570.0,159.0,108.0,845.0,66.0,42.0,725.0,93.0,66.0,2016.0
257,488600,2817.0,278.0,192.0,1589.0,141.0,98.0,1228.0,137.0,94.0,2016.0
258,489001,2667.0,305.0,196.0,1477.0,160.0,106.0,1190.0,145.0,90.0,2016.0
259,489002,2254.0,164.0,97.0,1184.0,75.0,43.0,1070.0,89.0,54.0,2016.0
260,490002,2683.0,276.0,194.0,1457.0,129.0,101.0,1226.0,147.0,93.0,2016.0
261,490003,2126.0,160.0,108.0,1090.0,74.0,50.0,1036.0,86.0,58.0,2016.0
262,490004,3058.0,231.0,173.0,1630.0,101.0,83.0,1428.0,130.0,90.0,2016.0
263,491101,4165.0,274.0,170.0,2189.0,113.0,74.0,1976.0,161.0,96.0,2016.0
264,491200,1140.0,129.0,86.0,624.0,70.0,51.0,516.0,59.0,35.0,2016.0
265,492700,1042.0,116.0,97.0,589.0,61.0,48.0,453.0,55.0,49.0,2016.0
266,492800,1519.0,200.0,146.0,886.0,126.0,94.0,633.0,74.0,52.0,2016.0
267,492900,1219.0,135.0,101.0,706.0,77.0,57.0,513.0,58.0,44.0,2016.0
268,494000,804.0,91.0,63.0,459.0,45.0,32.0,345.0,46.0,31.0,2016.0
269,495000,1098.0,147.0,97.0,583.0,66.0,41.0,515.0,81.0,56.0,2016.0
270,496101,1870.0,195.0,128.0,1000.0,114.0,74.0,870.0,81.0,54.0,2016.0
271,496102,2666.0,351.0,202.0,1420.0,173.0,96.0,1246.0,178.0,106.0,2016.0
272,496200,3327.0,378.0,236.0,1796.0,181.0,111.0,1531.0,197.0,125.0,2016.0
273,497000,545.0,66.0,41.0,296.0,35.0,25.0,249.0,31.0,16.0,2016.0
274,498000,1484.0,205.0,138.0,804.0,92.0,64.0,680.0,113.0,74.0,2016.0
275,499300,891.0,105.0,73.0,501.0,52.0,38.0,390.0,53.0,35.0,2016.0
276,499400,1536.0,202.0,136.0,876.0,109.0,76.0,660.0,93.0,60.0,2016.0
277,500300,2081.0,228.0,158.0,1195.0,125.0,85.0,886.0,103.0,73.0,2016.0
278,50100,1112.0,134.0,95.0,669.0,86.0,64.0,443.0,48.0,31.0,2016.0
279,501000,821.0,126.0,96.0,451.0,75.0,53.0,370.0,51.0,43.0,2016.0
280,503002,3430.0,458.0,315.0,1929.0,246.0,169.0,1501.0,212.0,146.0,2016.0
281,504100,2729.0,352.0,259.0,1563.0,199.0,144.0,1166.0,153.0,115.0,2016.0
282,50600,973.0,107.0,71.0,566.0,65.0,46.0,407.0,42.0,25.0,2016.0
283,507000,1157.0,128.0,99.0,645.0,65.0,50.0,512.0,63.0,49.0,2016.0
284,508000,1099.0,117.0,87.0,614.0,65.0,51.0,485.0,52.0,36.0,2016.0
285,50900,897.0,93.0,66.0,569.0,65.0,47.0,328.0,28.0,19.0,2016.0
286,509400,2885.0,310.0,197.0,1662.0,176.0,115.0,1223.0,134.0,82.0,2016.0
287,51000,723.0,79.0,59.0,444.0,51.0,39.0,279.0,28.0,20.0,2016.0
